Word,Word_Start_Time,Word_End_Time,Phoneme,Phoneme_Position,Phoneme_Start_Time,Phoneme_End_Time
rainbow,163.28,163.29,OW,1,163.28,163.29
pepper,163.29,163.41,P,1,163.29,163.3
pepper,163.29,163.41,EH,2,163.3,163.39
pepper,163.29,163.41,P,3,163.39,163.4
pepper,163.29,163.41,ER,4,163.4,163.41
and,163.41,163.8,AH,1,163.41,163.74
and,163.41,163.8,N,2,163.74,163.79
and,163.41,163.8,D,3,163.79,163.8
[SIL],163.8,164.03,[SIL],1,163.8,164.03
george,164.03,164.43,JH,1,164.03,164.11
george,164.03,164.43,AO,2,164.11,164.29
george,164.03,164.43,R,3,164.29,164.35
george,164.03,164.43,JH,4,164.35,164.43
love,164.43,164.64,L,1,164.43,164.64
[SIL],164.64,164.68,[SIL],1,164.64,164.68
love,164.68,164.94,L,1,164.68,164.73
love,164.68,164.94,AH,2,164.73,164.91
love,164.68,164.94,V,3,164.91,164.94
[SIL],164.94,164.99,[SIL],1,164.94,164.99
love,164.99,165.01,V,1,164.99,165.01
rainbows,165.01,165.71,R,1,165.01,165.17
rainbows,165.01,165.71,EY,2,165.17,165.25
rainbows,165.01,165.71,N,3,165.25,165.42
rainbows,165.01,165.71,B,4,165.42,165.43
rainbows,165.01,165.71,OW,5,165.43,165.64
rainbows,165.01,165.71,Z,6,165.64,165.71
a,165.71,166.29,AH,1,165.71,166.29
[SIL],166.29,166.35,[SIL],1,166.29,166.35
a,166.35,166.52,AH,1,166.35,166.52
rainbow,166.52,166.78,R,1,166.52,166.66
rainbow,166.52,166.78,EY,2,166.66,166.75
rainbow,166.52,166.78,N,3,166.75,166.78
[SIL],166.78,166.95,[SIL],1,166.78,166.95
rainbow,166.95,166.98,B,1,166.95,166.96
rainbow,166.95,166.98,OW,2,166.96,166.98
only,166.98,167.0,N,1,166.98,166.99
only,166.98,167.0,L,2,166.99,167.0
[SIL],167.0,167.07,[SIL],1,167.0,167.07
only,167.07,167.59,L,1,167.07,167.52
only,167.07,167.59,IY,2,167.52,167.59
comes,167.59,168.2,K,1,167.59,167.74
comes,167.59,168.2,AH,2,167.74,168.18
comes,167.59,168.2,M,3,168.18,168.19
comes,167.59,168.2,Z,4,168.19,168.2
out,168.2,168.22,AW,1,168.2,168.21
out,168.2,168.22,T,2,168.21,168.22
[SIL],168.22,168.27,[SIL],1,168.22,168.27
when,168.27,168.39,W,1,168.27,168.33
when,168.27,168.39,EH,2,168.33,168.34
when,168.27,168.39,N,3,168.34,168.39
it's,168.39,168.61,IH,1,168.39,168.47
it's,168.39,168.61,T,2,168.47,168.56
it's,168.39,168.61,S,3,168.56,168.61
rainy,168.61,169.14,R,1,168.61,168.78
rainy,168.61,169.14,EY,2,168.78,168.82
rainy,168.61,169.14,N,3,168.82,168.83
rainy,168.61,169.14,IY,4,168.83,169.14
[SIL],169.14,169.21,[SIL],1,169.14,169.21
and,169.21,169.58,AH,1,169.21,169.42
and,169.21,169.58,N,2,169.42,169.55
and,169.21,169.58,D,3,169.55,169.58
sunny,169.58,170.08,S,1,169.58,169.83
sunny,169.58,170.08,AH,2,169.83,169.94
sunny,169.58,170.08,N,3,169.94,170.05
sunny,169.58,170.08,IY,4,170.05,170.08
[SIL],170.08,170.15,[SIL],1,170.08,170.15
sunny,170.15,170.28,IY,1,170.15,170.28
at,170.28,170.3,AE,1,170.28,170.29
at,170.28,170.3,T,2,170.29,170.3
the,170.3,170.4,DH,1,170.3,170.31
the,170.3,170.4,AH,2,170.31,170.4
[SIL],170.4,170.45,[SIL],1,170.4,170.45
the,170.45,170.58,AH,1,170.45,170.58
same,170.58,171.01,S,1,170.58,170.75
same,170.58,171.01,EY,2,170.75,170.91
same,170.58,171.01,M,3,170.91,171.01
time,171.01,171.33,T,1,171.01,171.16
time,171.01,171.33,AY,2,171.16,171.33
[SIL],171.33,171.38,[SIL],1,171.33,171.38
time,171.38,171.57,AY,1,171.38,171.57
[SIL],171.57,172.23,[SIL],1,171.57,172.23
time,172.23,172.35,AY,1,172.23,172.34
time,172.23,172.35,M,2,172.34,172.35
woo,172.35,172.36,W,1,172.35,172.36
[SIL],172.36,172.78,[SIL],1,172.36,172.78
woo,172.78,172.87,UW,1,172.78,172.87
[SIL],172.87,173.5,[SIL],1,172.87,173.5
it's,173.5,173.67,IH,1,173.5,173.53
it's,173.5,173.67,T,2,173.53,173.6
it's,173.5,173.67,S,3,173.6,173.67
[SIL],173.67,173.71,[SIL],1,173.67,173.71
got,173.71,173.77,G,1,173.71,173.75
got,173.71,173.77,AA,2,173.75,173.77
[SIL],173.77,173.83,[SIL],1,173.77,173.83
got,173.83,173.89,AA,1,173.83,173.87
got,173.83,173.89,T,2,173.87,173.89
[SIL],173.89,174.12,[SIL],1,173.89,174.12
all,174.12,174.36,AO,1,174.12,174.13
all,174.12,174.36,L,2,174.13,174.36
[SIL],174.36,174.44,[SIL],1,174.36,174.44
all,174.44,174.45,L,1,174.44,174.45
our,174.45,174.47,AW,1,174.45,174.46
our,174.45,174.47,ER,2,174.46,174.47
[SIL],174.47,174.77,[SIL],1,174.47,174.77
favourite,174.77,175.17,F,1,174.77,174.78
favourite,174.77,175.17,AE,2,174.78,174.98
favourite,174.77,175.17,V,3,174.98,175.08
favourite,174.77,175.17,Y,4,175.08,175.09
favourite,174.77,175.17,UW,5,175.09,175.1
favourite,174.77,175.17,R,6,175.1,175.15
favourite,174.77,175.17,AY,7,175.15,175.16
favourite,174.77,175.17,T,8,175.16,175.17
[SIL],175.17,175.42,[SIL],1,175.17,175.42
colours,175.42,175.44,K,1,175.42,175.44
[SIL],175.44,175.55,[SIL],1,175.44,175.55
colours,175.55,175.58,AH,1,175.55,175.58
[SIL],175.58,175.72,[SIL],1,175.58,175.72
colours,175.72,175.93,AH,1,175.72,175.81
colours,175.72,175.93,L,2,175.81,175.82
colours,175.72,175.93,ER,3,175.82,175.83
colours,175.72,175.93,Z,4,175.83,175.93
in,175.93,176.09,IH,1,175.93,176.02
in,175.93,176.09,N,2,176.02,176.09
it,176.09,176.12,IH,1,176.09,176.11
it,176.09,176.12,T,2,176.11,176.12
[SIL],176.12,176.16,[SIL],1,176.12,176.16
yes,176.16,176.19,Y,1,176.16,176.17
yes,176.16,176.19,EH,2,176.17,176.18
yes,176.16,176.19,S,3,176.18,176.19
red,176.19,176.26,R,1,176.19,176.2
red,176.19,176.26,EH,2,176.2,176.25
red,176.19,176.26,D,3,176.25,176.26
[SIL],176.26,178.7,[SIL],1,176.26,178.7
red,178.7,178.71,D,1,178.7,178.71
orange,178.71,178.73,AO,1,178.71,178.72
orange,178.71,178.73,R,2,178.72,178.73
[SIL],178.73,179.6,[SIL],1,178.73,179.6
orange,179.6,179.64,AH,1,179.6,179.61
orange,179.6,179.64,N,2,179.61,179.63
orange,179.6,179.64,JH,3,179.63,179.64
and,179.64,179.75,AH,1,179.64,179.65
and,179.64,179.75,N,2,179.65,179.71
and,179.64,179.75,D,3,179.71,179.75
[SIL],179.75,179.96,[SIL],1,179.75,179.96
green,179.96,179.98,G,1,179.96,179.97
green,179.96,179.98,R,2,179.97,179.98
[SIL],179.98,180.18,[SIL],1,179.98,180.18
green,180.18,180.2,IY,1,180.18,180.19
green,180.18,180.2,N,2,180.19,180.2
and,180.2,180.23,AH,1,180.2,180.23
[SIL],180.23,180.39,[SIL],1,180.23,180.39
and,180.39,180.41,AH,1,180.39,180.41
[SIL],180.41,180.56,[SIL],1,180.41,180.56
and,180.56,180.61,N,1,180.56,180.61
[SIL],180.61,182.85,[SIL],1,180.61,182.85
and,182.85,182.86,D,1,182.85,182.86
blue,182.86,182.89,B,1,182.86,182.87
blue,182.86,182.89,L,2,182.87,182.88
blue,182.86,182.89,UW,3,182.88,182.89
[SIL],182.89,183.98,[SIL],1,182.89,183.98
and,183.98,184.21,AH,1,183.98,184.03
and,183.98,184.21,N,2,184.03,184.11
and,183.98,184.21,D,3,184.11,184.21
do,184.21,184.22,UW,1,184.21,184.22
you,184.22,184.74,Y,1,184.22,184.41
you,184.22,184.74,UW,2,184.41,184.74
know,184.74,184.83,N,1,184.74,184.82
know,184.74,184.83,OW,2,184.82,184.83
what,184.83,185.09,W,1,184.83,184.91
what,184.83,185.09,AH,2,184.91,184.95
what,184.83,185.09,T,3,184.95,185.09
you,185.09,185.19,Y,1,185.09,185.1
you,185.09,185.19,UW,2,185.1,185.19
find,185.19,185.26,F,1,185.19,185.26
[SIL],185.26,185.35,[SIL],1,185.26,185.35
find,185.35,185.49,F,1,185.35,185.41
find,185.35,185.49,AY,2,185.41,185.49
[SIL],185.49,185.53,[SIL],1,185.49,185.53
find,185.53,185.62,AY,1,185.53,185.58
find,185.53,185.62,N,2,185.58,185.62
[SIL],185.62,185.66,[SIL],1,185.62,185.66
find,185.66,185.84,D,1,185.66,185.84
at,185.84,185.86,AE,1,185.84,185.85
at,185.84,185.86,T,2,185.85,185.86
the,185.86,186.03,DH,1,185.86,185.9
the,185.86,186.03,AH,2,185.9,186.03
[SIL],186.03,186.1,[SIL],1,186.03,186.1
the,186.1,186.12,AH,1,186.1,186.12
end,186.12,186.49,EH,1,186.12,186.26
end,186.12,186.49,N,2,186.26,186.43
end,186.12,186.49,D,3,186.43,186.49
of,186.49,186.63,AH,1,186.49,186.58
of,186.49,186.63,V,2,186.58,186.63
a,186.63,186.64,AH,1,186.63,186.64
rainbow,186.64,187.04,R,1,186.64,186.91
rainbow,186.64,187.04,EY,2,186.91,186.92
rainbow,186.64,187.04,N,3,186.92,187.04
[SIL],187.04,187.29,[SIL],1,187.04,187.29
rainbow,187.29,187.43,B,1,187.29,187.3
rainbow,187.29,187.43,OW,2,187.3,187.43
no,187.43,187.45,N,1,187.43,187.44
no,187.43,187.45,OW,2,187.44,187.45
you,187.45,187.67,Y,1,187.45,187.46
you,187.45,187.67,UW,2,187.46,187.67
find,187.67,187.71,F,1,187.67,187.68
find,187.67,187.71,AY,2,187.68,187.69
find,187.67,187.71,N,3,187.69,187.7
find,187.67,187.71,D,4,187.7,187.71
treasure,187.71,187.72,T,1,187.71,187.72
[SIL],187.72,188.34,[SIL],1,187.72,188.34
treasure,188.34,188.38,R,1,188.34,188.35
treasure,188.34,188.38,EH,2,188.35,188.36
treasure,188.34,188.38,ZH,3,188.36,188.37
treasure,188.34,188.38,ER,4,188.37,188.38
oh,188.38,188.39,OW,1,188.38,188.39
can,188.39,188.41,K,1,188.39,188.4
can,188.39,188.41,AE,2,188.4,188.41
[SIL],188.41,188.47,[SIL],1,188.41,188.47
can,188.47,188.59,AE,1,188.47,188.59
[SIL],188.59,188.63,[SIL],1,188.59,188.63
can,188.63,188.64,AE,1,188.63,188.64
[SIL],188.64,188.68,[SIL],1,188.64,188.68
can,188.68,188.69,N,1,188.68,188.69
[SIL],188.69,189.45,[SIL],1,188.69,189.45
we,189.45,189.61,W,1,189.45,189.46
we,189.45,189.61,IY,2,189.46,189.61
go,189.61,189.63,G,1,189.61,189.62
go,189.61,189.63,OW,2,189.62,189.63
find,189.63,189.67,F,1,189.63,189.67
[SIL],189.67,189.79,[SIL],1,189.67,189.79
find,189.79,190.03,AY,1,189.79,189.97
find,189.79,190.03,N,2,189.97,190.02
find,189.79,190.03,D,3,190.02,190.03
[SIL],190.03,190.68,[SIL],1,190.03,190.68
find,190.68,190.72,D,1,190.68,190.72
[SIL],190.72,191.63,[SIL],1,190.72,191.63
find,191.63,191.65,D,1,191.63,191.65
[SIL],191.65,193.38,[SIL],1,191.65,193.38
find,193.38,193.39,D,1,193.38,193.39
the,193.39,193.41,DH,1,193.39,193.4
the,193.39,193.41,AH,2,193.4,193.41
[SIL],193.41,195.46,[SIL],1,193.41,195.46
the,195.46,195.47,AH,1,195.46,195.47
[SIL],195.47,195.51,[SIL],1,195.47,195.51
the,195.51,195.54,AH,1,195.51,195.54
[SIL],195.54,195.58,[SIL],1,195.54,195.58
the,195.58,195.59,AH,1,195.58,195.59
treasure,195.59,195.64,T,1,195.59,195.6
treasure,195.59,195.64,R,2,195.6,195.61
treasure,195.59,195.64,EH,3,195.61,195.62
treasure,195.59,195.64,ZH,4,195.62,195.63
treasure,195.59,195.64,ER,5,195.63,195.64
now,195.64,195.66,N,1,195.64,195.65
now,195.64,195.66,AW,2,195.65,195.66
ok,195.66,196.07,OW,1,195.66,195.67
ok,195.66,196.07,K,2,195.67,195.78
ok,195.66,196.07,EY,3,195.78,196.07
[SIL],196.07,196.6,[SIL],1,196.07,196.6
the,196.6,196.72,DH,1,196.6,196.65
the,196.6,196.72,AH,2,196.65,196.72
[SIL],196.72,196.77,[SIL],1,196.72,196.77
the,196.77,196.79,AH,1,196.77,196.79
end,196.79,197.02,EH,1,196.79,196.9
end,196.79,197.02,N,2,196.9,196.97
end,196.79,197.02,D,3,196.97,197.02
of,197.02,197.14,AH,1,197.02,197.09
of,197.02,197.14,V,2,197.09,197.14
the,197.14,197.23,DH,1,197.14,197.16
the,197.14,197.23,AH,2,197.16,197.23
rainbow,197.23,197.67,R,1,197.23,197.39
rainbow,197.23,197.67,EY,2,197.39,197.45
rainbow,197.23,197.67,N,3,197.45,197.55
rainbow,197.23,197.67,B,4,197.55,197.59
rainbow,197.23,197.67,OW,5,197.59,197.67
looks,197.67,198.04,L,1,197.67,197.88
looks,197.67,198.04,UH,2,197.88,197.89
looks,197.67,198.04,K,3,197.89,197.98
looks,197.67,198.04,S,4,197.98,198.04
like,198.04,198.22,L,1,198.04,198.08
like,198.04,198.22,AY,2,198.08,198.15
like,198.04,198.22,K,3,198.15,198.22
it's,198.22,198.42,IH,1,198.22,198.28
it's,198.22,198.42,T,2,198.28,198.32
it's,198.22,198.42,S,3,198.32,198.42
[SIL],198.42,198.48,[SIL],1,198.42,198.48
just,198.48,198.89,JH,1,198.48,198.6
just,198.48,198.89,AH,2,198.6,198.72
just,198.48,198.89,S,3,198.72,198.82
just,198.48,198.89,T,4,198.82,198.89
on,198.89,199.04,AA,1,198.89,198.95
on,198.89,199.04,N,2,198.95,199.04
the,199.04,199.11,DH,1,199.04,199.05
the,199.04,199.11,AH,2,199.05,199.11
next,199.11,199.57,N,1,199.11,199.23
next,199.11,199.57,EH,2,199.23,199.32
next,199.11,199.57,K,3,199.32,199.42
next,199.11,199.57,S,4,199.42,199.48
next,199.11,199.57,T,5,199.48,199.57
[SIL],199.57,199.63,[SIL],1,199.57,199.63
hill,199.63,199.73,HH,1,199.63,199.67
hill,199.63,199.73,IH,2,199.67,199.73
[SIL],199.73,199.77,[SIL],1,199.73,199.77
hill,199.77,200.0,IH,1,199.77,199.82
hill,199.77,200.0,L,2,199.82,200.0
[SIL],200.0,201.39,[SIL],1,200.0,201.39
let's,201.39,201.42,EH,1,201.39,201.4
let's,201.39,201.42,T,2,201.4,201.41
let's,201.39,201.42,S,3,201.41,201.42
go,201.42,201.43,G,1,201.42,201.43
[SIL],201.43,204.35,[SIL],1,201.43,204.35
go,204.35,204.36,OW,1,204.35,204.36
wee,204.36,204.37,W,1,204.36,204.37
[SIL],204.37,204.55,[SIL],1,204.37,204.55
wee,204.55,204.56,IY,1,204.55,204.56
it's,204.56,204.59,IH,1,204.56,204.57
it's,204.56,204.59,T,2,204.57,204.58
it's,204.56,204.59,S,3,204.58,204.59
a,204.59,204.63,AH,1,204.59,204.63
[SIL],204.63,204.93,[SIL],1,204.63,204.93
a,204.93,204.99,AH,1,204.93,204.99
[SIL],204.99,205.18,[SIL],1,204.99,205.18
a,205.18,205.2,AH,1,205.18,205.2
[SIL],205.2,205.53,[SIL],1,205.2,205.53
a,205.53,205.59,AH,1,205.53,205.59
rainy,205.59,205.69,R,1,205.59,205.6
rainy,205.59,205.69,EY,2,205.6,205.61
rainy,205.59,205.69,N,3,205.61,205.69
[SIL],205.69,206.7,[SIL],1,205.69,206.7
rainy,206.7,206.72,N,1,206.7,206.72
[SIL],206.72,206.87,[SIL],1,206.72,206.87
rainy,206.87,206.88,IY,1,206.87,206.88
[SIL],206.88,206.96,[SIL],1,206.88,206.96
sunny,206.96,207.33,S,1,206.96,206.97
sunny,206.96,207.33,AH,2,206.97,207.17
sunny,206.96,207.33,N,3,207.17,207.33
[SIL],207.33,207.46,[SIL],1,207.33,207.46
sunny,207.46,207.47,IY,1,207.46,207.47
[SIL],207.47,207.52,[SIL],1,207.47,207.52
day,207.52,207.57,D,1,207.52,207.56
day,207.52,207.57,EY,2,207.56,207.57
the,207.57,207.87,DH,1,207.57,207.58
the,207.57,207.87,AH,2,207.58,207.87
rainbow's,207.87,207.93,R,1,207.87,207.88
rainbow's,207.87,207.93,EY,2,207.88,207.89
rainbow's,207.87,207.93,N,3,207.89,207.9
rainbow's,207.87,207.93,B,4,207.9,207.91
rainbow's,207.87,207.93,OW,5,207.91,207.92
rainbow's,207.87,207.93,Z,6,207.92,207.93
here,207.93,207.96,HH,1,207.93,207.94
here,207.93,207.96,IY,2,207.94,207.95
here,207.93,207.96,R,3,207.95,207.96
to,207.96,207.98,T,1,207.96,207.97
to,207.96,207.98,UW,2,207.97,207.98
play,207.98,208.0,P,1,207.98,207.99
play,207.98,208.0,L,2,207.99,208.0
[SIL],208.0,208.91,[SIL],1,208.0,208.91
play,208.91,208.92,EY,1,208.91,208.92
rainbow,208.92,208.95,R,1,208.92,208.93
rainbow,208.92,208.95,EY,2,208.93,208.95
[SIL],208.95,209.07,[SIL],1,208.95,209.07
rainbow,209.07,209.09,N,1,209.07,209.09
[SIL],209.09,209.66,[SIL],1,209.09,209.66
rainbow,209.66,209.69,N,1,209.66,209.69
[SIL],209.69,209.75,[SIL],1,209.69,209.75
rainbow,209.75,209.79,B,1,209.75,209.76
rainbow,209.75,209.79,OW,2,209.76,209.77
rainbow,209.75,209.79,R,3,209.77,209.78
rainbow,209.75,209.79,EY,4,209.78,209.79
[SIL],209.79,209.83,[SIL],1,209.79,209.83
rainbow,209.83,209.84,N,1,209.83,209.84
[SIL],209.84,210.33,[SIL],1,209.84,210.33
rainbow,210.33,210.34,B,1,210.33,210.34
[SIL],210.34,211.16,[SIL],1,210.34,211.16
rainbow,211.16,211.17,OW,1,211.16,211.17
[SIL],211.17,211.23,[SIL],1,211.17,211.23
red,211.23,211.31,R,1,211.23,211.24
red,211.23,211.31,EH,2,211.24,211.31
[SIL],211.31,211.85,[SIL],1,211.31,211.85
red,211.85,211.91,EH,1,211.85,211.91
[SIL],211.91,213.01,[SIL],1,211.91,213.01
red,213.01,213.08,EH,1,213.01,213.08
[SIL],213.08,213.65,[SIL],1,213.08,213.65
red,213.65,213.69,D,1,213.65,213.69
[SIL],213.69,213.88,[SIL],1,213.69,213.88
red,213.88,213.89,D,1,213.88,213.89
[SIL],213.89,214.41,[SIL],1,213.89,214.41
red,214.41,214.45,D,1,214.41,214.45
[SIL],214.45,214.55,[SIL],1,214.45,214.55
orange,214.55,214.74,AO,1,214.55,214.56
orange,214.55,214.74,R,2,214.56,214.57
orange,214.55,214.74,AH,3,214.57,214.66
orange,214.55,214.74,N,4,214.66,214.73
orange,214.55,214.74,JH,5,214.73,214.74
and,214.74,215.0,AH,1,214.74,214.99
and,214.74,215.0,N,2,214.99,215.0
[SIL],215.0,215.04,[SIL],1,215.0,215.04
and,215.04,215.12,N,1,215.04,215.07
and,215.04,215.12,D,2,215.07,215.12
yellow,215.12,215.3,Y,1,215.12,215.13
yellow,215.12,215.3,EH,2,215.13,215.3
[SIL],215.3,215.44,[SIL],1,215.3,215.44
yellow,215.44,215.54,EH,1,215.44,215.54
[SIL],215.54,215.77,[SIL],1,215.54,215.77
yellow,215.77,216.01,EH,1,215.77,216.01
[SIL],216.01,216.07,[SIL],1,216.01,216.07
yellow,216.07,216.17,EH,1,216.07,216.17
[SIL],216.17,216.47,[SIL],1,216.17,216.47
yellow,216.47,216.54,EH,1,216.47,216.54
[SIL],216.54,216.69,[SIL],1,216.54,216.69
yellow,216.69,216.8,EH,1,216.69,216.8
[SIL],216.8,217.05,[SIL],1,216.8,217.05
yellow,217.05,217.18,EH,1,217.05,217.16
yellow,217.05,217.18,L,2,217.16,217.17
yellow,217.05,217.18,OW,3,217.17,217.18
and,217.18,217.22,AH,1,217.18,217.19
and,217.18,217.22,N,2,217.19,217.22
[SIL],217.22,217.27,[SIL],1,217.22,217.27
and,217.27,217.3,N,1,217.27,217.29
and,217.27,217.3,D,2,217.29,217.3
[SIL],217.3,217.38,[SIL],1,217.3,217.38
green,217.38,217.42,G,1,217.38,217.39
green,217.38,217.42,R,2,217.39,217.4
green,217.38,217.42,IY,3,217.4,217.41
green,217.38,217.42,N,4,217.41,217.42
and,217.42,217.47,AH,1,217.42,217.45
and,217.42,217.47,N,2,217.45,217.46
and,217.42,217.47,D,3,217.46,217.47
purple,217.47,217.58,P,1,217.47,217.48
purple,217.47,217.58,ER,2,217.48,217.49
purple,217.47,217.58,P,3,217.49,217.5
purple,217.47,217.58,AH,4,217.5,217.58
[SIL],217.58,217.65,[SIL],1,217.58,217.65
purple,217.65,217.66,L,1,217.65,217.66
and,217.66,217.73,AH,1,217.66,217.71
and,217.66,217.73,N,2,217.71,217.72
and,217.66,217.73,D,3,217.72,217.73
blue,217.73,217.97,B,1,217.73,217.74
blue,217.73,217.97,L,2,217.74,217.75
blue,217.73,217.97,UW,3,217.75,217.97
[SIL],217.97,218.65,[SIL],1,217.97,218.65
rainbow,218.65,218.66,R,1,218.65,218.66
[SIL],218.66,219.2,[SIL],1,218.66,219.2
rainbow,219.2,219.29,EY,1,219.2,219.21
rainbow,219.2,219.29,N,2,219.21,219.22
rainbow,219.2,219.29,B,3,219.22,219.23
rainbow,219.2,219.29,OW,4,219.23,219.24
rainbow,219.2,219.29,R,5,219.24,219.25
rainbow,219.2,219.29,EY,6,219.25,219.26
rainbow,219.2,219.29,N,7,219.26,219.27
rainbow,219.2,219.29,B,8,219.27,219.28
rainbow,219.2,219.29,OW,9,219.28,219.29
it's,219.29,219.32,IH,1,219.29,219.3
it's,219.29,219.32,T,2,219.3,219.31
it's,219.29,219.32,S,3,219.31,219.32
a,219.32,219.33,AH,1,219.32,219.33
[SIL],219.33,220.37,[SIL],1,219.33,220.37
a,220.37,220.42,AH,1,220.37,220.42
[SIL],220.42,220.46,[SIL],1,220.42,220.46
a,220.46,220.47,AH,1,220.46,220.47
[SIL],220.47,220.51,[SIL],1,220.47,220.51
rainy,220.51,220.52,R,1,220.51,220.52
[SIL],220.52,220.82,[SIL],1,220.52,220.82
rainy,220.82,220.83,EY,1,220.82,220.83
[SIL],220.83,221.0,[SIL],1,220.83,221.0
rainy,221.0,221.06,N,1,221.0,221.06
[SIL],221.06,222.14,[SIL],1,221.06,222.14
rainy,222.14,222.15,IY,1,222.14,222.15
sunny,222.15,222.17,S,1,222.15,222.16
sunny,222.15,222.17,AH,2,222.16,222.17
[SIL],222.17,222.28,[SIL],1,222.17,222.28
sunny,222.28,222.29,AH,1,222.28,222.29
[SIL],222.29,222.68,[SIL],1,222.29,222.68
sunny,222.68,222.89,AH,1,222.68,222.89
[SIL],222.89,222.98,[SIL],1,222.89,222.98
sunny,222.98,223.03,AH,1,222.98,223.03
[SIL],223.03,223.15,[SIL],1,223.03,223.15
sunny,223.15,223.74,AH,1,223.15,223.74
[SIL],223.74,223.8,[SIL],1,223.74,223.8
sunny,223.8,223.82,AH,1,223.8,223.82
[SIL],223.82,224.34,[SIL],1,223.82,224.34
sunny,224.34,224.36,AH,1,224.34,224.36
[SIL],224.36,225.0,[SIL],1,224.36,225.0
sunny,225.0,225.01,AH,1,225.0,225.01
[SIL],225.01,225.31,[SIL],1,225.01,225.31
sunny,225.31,225.36,AH,1,225.31,225.36
[SIL],225.36,225.41,[SIL],1,225.36,225.41
sunny,225.41,225.43,AH,1,225.41,225.43
[SIL],225.43,225.47,[SIL],1,225.43,225.47
sunny,225.47,225.48,AH,1,225.47,225.48
[SIL],225.48,225.61,[SIL],1,225.48,225.61
sunny,225.61,225.7,AH,1,225.61,225.68
sunny,225.61,225.7,N,2,225.68,225.69
sunny,225.61,225.7,IY,3,225.69,225.7
day,225.7,225.72,D,1,225.7,225.71
day,225.7,225.72,EY,2,225.71,225.72
here,225.72,225.75,HH,1,225.72,225.73
here,225.72,225.75,IY,2,225.73,225.74
here,225.72,225.75,R,3,225.74,225.75
we,225.75,225.77,W,1,225.75,225.76
we,225.75,225.77,IY,2,225.76,225.77
are,225.77,226.05,AA,1,225.77,226.04
are,225.77,226.05,R,2,226.04,226.05
oh,226.05,226.06,OW,1,226.05,226.06
where's,226.06,226.1,W,1,226.06,226.07
where's,226.06,226.1,EH,2,226.07,226.08
where's,226.06,226.1,R,3,226.08,226.09
where's,226.06,226.1,Z,4,226.09,226.1
[SIL],226.1,228.63,[SIL],1,226.1,228.63
our,228.63,228.65,AW,1,228.63,228.64
our,228.63,228.65,ER,2,228.64,228.65
rainbow,228.65,228.66,R,1,228.65,228.66
[SIL],228.66,228.75,[SIL],1,228.66,228.75
rainbow,228.75,228.76,EY,1,228.75,228.76
[SIL],228.76,228.82,[SIL],1,228.76,228.82
rainbow,228.82,228.87,N,1,228.82,228.87
[SIL],228.87,228.91,[SIL],1,228.87,228.91
rainbow,228.91,228.93,B,1,228.91,228.92
rainbow,228.91,228.93,OW,2,228.92,228.93
gone,228.93,228.97,G,1,228.93,228.95
gone,228.93,228.97,AO,2,228.95,228.97
[SIL],228.97,229.15,[SIL],1,228.97,229.15
gone,229.15,229.36,N,1,229.15,229.36
[SIL],229.36,229.61,[SIL],1,229.36,229.61
gone,229.61,229.62,N,1,229.61,229.62
[SIL],229.62,229.69,[SIL],1,229.62,229.69
gone,229.69,229.7,N,1,229.69,229.7
[SIL],229.7,229.74,[SIL],1,229.7,229.74
gone,229.74,229.97,N,1,229.74,229.97
it's,229.97,230.0,IH,1,229.97,229.98
it's,229.97,230.0,T,2,229.98,229.99
it's,229.97,230.0,S,3,229.99,230.0
moved,230.0,230.22,M,1,230.0,230.01
moved,230.0,230.22,UW,2,230.01,230.14
moved,230.0,230.22,V,3,230.14,230.15
moved,230.0,230.22,D,4,230.15,230.22
to,230.22,230.25,T,1,230.22,230.24
to,230.22,230.25,UW,2,230.24,230.25
the,230.25,230.29,DH,1,230.25,230.26
the,230.25,230.29,AH,2,230.26,230.29
[SIL],230.29,230.36,[SIL],1,230.29,230.36
the,230.36,230.37,AH,1,230.36,230.37
next,230.37,230.68,N,1,230.37,230.47
next,230.37,230.68,EH,2,230.47,230.56
next,230.37,230.68,K,3,230.56,230.64
next,230.37,230.68,S,4,230.64,230.67
next,230.37,230.68,T,5,230.67,230.68
[SIL],230.68,230.84,[SIL],1,230.68,230.84
hill,230.84,230.88,HH,1,230.84,230.86
hill,230.84,230.88,IH,2,230.86,230.87
hill,230.84,230.88,L,3,230.87,230.88
[SIL],230.88,231.1,[SIL],1,230.88,231.1
hill,231.1,231.23,L,1,231.1,231.23
you,231.23,231.24,Y,1,231.23,231.24
[SIL],231.24,232.68,[SIL],1,231.24,232.68
you,232.68,232.69,UW,1,232.68,232.69
cheeky,232.69,232.73,CH,1,232.69,232.7
cheeky,232.69,232.73,IY,2,232.7,232.71
cheeky,232.69,232.73,K,3,232.71,232.72
cheeky,232.69,232.73,IY,4,232.72,232.73
rainbow,232.73,232.82,R,1,232.73,232.74
rainbow,232.73,232.82,EY,2,232.74,232.75
rainbow,232.73,232.82,N,3,232.75,232.82
[SIL],232.82,232.91,[SIL],1,232.82,232.91
rainbow,232.91,232.92,B,1,232.91,232.92
[SIL],232.92,233.12,[SIL],1,232.92,233.12
rainbow,233.12,233.16,OW,1,233.12,233.16
[SIL],233.16,233.64,[SIL],1,233.16,233.64
quick,233.64,233.72,K,1,233.64,233.65
quick,233.64,233.72,W,2,233.65,233.72
[SIL],233.72,234.38,[SIL],1,233.72,234.38
